second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg,label
259,16,25,3,0.35714287,0.21428572,0.087018095,0.05318647,0.010314941,225,0.41196388,0.25395033,0,0,0,50,0
259,0,32,1,0.071428575,0.2857143,0.051612902,0.82501966,0.010009766,37,0.041760724,0.1670429,0,0,0,15,0
259,6,32,1,0.071428575,0.2857143,0.15468135,0.82501966,0.029998779,37,0.041760724,0.1670429,0,0,0,15,0
259,9,32,1,0.071428575,0.2857143,0.15468135,0.82501966,0.029998779,37,0.041760724,0.1670429,0,0,0,13,0
259,12,32,1,0.071428575,0.2857143,0.46404406,0.82501966,0.089996338,37,0.041760724,0.1670429,0,0,0,17,0
260,16,25,1,0.44444445,0.11111111,0.45089757,0.12143611,0.003509521,78,0.45588234,0.12745099,0,0,0,51,0
260,25,16,4,0.44444445,0.44444445,0.4002112,0.4002112,0.011566162,231,0.37745097,0.37745097,0,0,0,44,0
260,39,43,1,0.11111111,0.11111111,0.14889124,0.14889124,0.004302979,102,0.16666667,0.16666667,1,0,0,0,0
260,16,26,3,0.44444445,0.33333334,0.45089757,0.32946146,0.009521484,201,0.45588234,0.32843137,0,0,0,33,0
261,26,16,3,0.42857143,0.42857143,0.38114753,0.38114753,0.008514404,169,0.35805085,0.35805085,0,0,0,36,0
261,39,43,1,0.14285715,0.14285715,0.19262294,0.19262294,0.004302979,102,0.21610169,0.21610169,1,0,0,0,0
261,16,28,3,0.42857143,0.42857143,0.4262295,0.4262295,0.009521484,201,0.42584747,0.42584747,0,0,0,30,0
262,28,16,3,0.5,0.5,0.4721754,0.4721754,0.008544922,169,0.45675677,0.45675677,0,0,0,27,0
262,16,28,3,0.5,0.5,0.52782464,0.52782464,0.009552002,201,0.5432432,0.5432432,0,0,0,33,0
263,28,16,3,0.27272728,0.27272728,0.039546423,0.039546423,0.008514404,169,0.3141264,0.3141264,0,0,0,30,0
263,46,47,1,0.09090909,0.09090909,0.019985825,0.019985825,0.004302979,102,0.18959108,0.18959108,1,0,0,0,0
263,1,32,1,0.09090909,0.54545456,0.04649185,0.92898655,0.010009766,37,0.06877323,0.4126394,0,0,0,16,0
263,2,32,1,0.09090909,0.54545456,0.23217577,0.92898655,0.049987793,37,0.06877323,0.4126394,0,0,0,15,0
263,7,32,1,0.09090909,0.54545456,0.0929837,0.92898655,0.020019531,37,0.06877323,0.4126394,0,0,0,16,0
263,16,19,1,0.09090909,0.09090909,0.011481219,0.011481219,0.002471924,45,0.08364312,0.08364312,0,0,0,6,0
