No.,Time,Source,Destination,Protocol,Length,Info
193,245.9,::201:1:1:1,::210:10:10:10,UDP,69,8214  >  8214 Len=4
194,245.90324,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
195,245.94,::201:1:1:1,::210:10:10:10,UDP,78,8214  >  8214 Len=4
196,245.943528,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
197,245.98,::201:1:1:1,::210:10:10:10,UDP,78,8214  >  8214 Len=4
198,245.983528,,00:08:00:08:00:08:00:08,IEEE 802.15.4,19,"Ack, Dst: Multitec_08:00:08:00:08"
199,246.02,::201:1:1:1,::210:10:10:10,UDP,78,8214  >  8214 Len=4
200,246.023528,,00:0c:00:0c:00:0c:00:0c,IEEE 802.15.4,19,"Ack, Dst: BebIndus_0c:00:0c:00:0c"
201,246.15,::210:10:10:10,::201:1:1:1,UDP,53,8214  >  8214 Len=4
202,246.152728,,00:10:00:10:00:10:00:10,IEEE 802.15.4,19,"Ack, Dst: CableTel_10:00:10:00:10"
203,246.28,::210:10:10:10,::201:1:1:1,UDP,62,8214  >  8214 Len=4
204,246.283016,,00:0c:00:0c:00:0c:00:0c,IEEE 802.15.4,19,"Ack, Dst: BebIndus_0c:00:0c:00:0c"
205,246.41,::210:10:10:10,::201:1:1:1,UDP,62,8214  >  8214 Len=4
206,246.413016,,00:08:00:08:00:08:00:08,IEEE 802.15.4,19,"Ack, Dst: Multitec_08:00:08:00:08"
207,246.55,::210:10:10:10,::201:1:1:1,UDP,54,8214  >  8214 Len=4
208,246.55276,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
209,246.92,::201:1:1:1,::20c:c:c:c,UDP,61,8214  >  8214 Len=4
210,246.922984,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
211,246.96,::201:1:1:1,::20c:c:c:c,UDP,70,8214  >  8214 Len=4
212,246.963272,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
213,247,::201:1:1:1,::20c:c:c:c,UDP,70,8214  >  8214 Len=4
